iteration,x,y
1,7.13633,17.1216
1,20.8908,20.0795
1,5.93326,21.9732
1,12.6092,16.5164
1,5.93326,21.9732
1,8.65373,18.4672
1,16.094,17.3244
1,4.25935,26.8851
1,3.26944,31.7401
1,6.28134,34.7881
1,36.0161,29.7178
1,28.1973,25.1432
1,24.0874,22.2952
1,31.6647,27.3519
1,22.6593,42.226
1,14.2761,38.8948
1,9.55183,36.8687
1,18.9057,40.7292
1,25.9213,43.6331
1,22.1011,16.0886
1,2.26032,20.389
1,0.360499,25.7501
1,2.26032,20.389
1,-0.841861,31.1177
1,12.6446,12.5174
1,4.93557,16.3425
1,8.88128,13.4509
1,18.4369,13.994
1,30.2451,21.7003
1,26.578,19.157
1,34.8013,24.5556
1,13.8348,43.0317
1,4.04855,38.1315
1,8.84898,40.9443
1,0.948021,35.2607
1,21.4957,46.0737
1,17.9169,44.6374
1,39.1675,26.7556
2,10.2036,15.0169
2,20.8908,20.0795
2,5.93326,21.9732
2,12.6092,16.5164
2,5.93326,21.9732
2,8.65373,18.4672
2,16.094,17.3244
2,4.25935,26.8851
2,3.26944,31.7401
2,6.28134,34.7881
2,36.0161,29.7178
2,28.1973,25.1432
2,24.0874,22.2952
2,31.6647,27.3519
2,22.6593,42.226
2,14.2761,38.8948
2,9.55183,36.8687
2,18.9057,40.7292
2,25.9213,43.6331
2,22.1011,16.0886
2,2.26032,20.389
2,0.360499,25.7501
2,2.26032,20.389
2,-0.841861,31.1177
2,12.6446,12.5174
2,4.93557,16.3425
2,8.88128,13.4509
2,18.4369,13.994
2,30.2451,21.7003
2,26.578,19.157
2,34.8013,24.5556
2,13.8348,43.0317
2,4.04855,38.1315
2,8.84898,40.9443
2,0.948021,35.2607
2,21.4957,46.0737
2,17.9169,44.6374
2,39.1675,26.7556
2,40.1755,31.4477
3,13.3599,14.5481
3,20.8908,20.0795
3,5.93326,21.9732
3,12.6092,16.5164
3,5.93326,21.9732
3,8.65373,18.4672
3,16.094,17.3244
3,4.25935,26.8851
3,3.26944,31.7401
3,6.28134,34.7881
3,36.0161,29.7178
3,28.1973,25.1432
3,24.0874,22.2952
3,31.6647,27.3519
3,22.6593,42.226
3,14.2761,38.8948
3,9.55183,36.8687
3,18.9057,40.7292
3,25.9213,43.6331
3,22.1011,16.0886
3,2.26032,20.389
3,0.360499,25.7501
3,2.26032,20.389
3,-0.841861,31.1177
3,12.6446,12.5174
3,4.93557,16.3425
3,8.88128,13.4509
3,18.4369,13.994
3,30.2451,21.7003
3,26.578,19.157
3,34.8013,24.5556
3,13.8348,43.0317
3,4.04855,38.1315
3,8.84898,40.9443
3,0.948021,35.2607
3,21.4957,46.0737
3,17.9169,44.6374
3,39.1675,26.7556
3,40.1755,31.4477
3,43.8697,28.476
4,16.6665,15.3968
4,20.8908,20.0795
4,5.93326,21.9732
4,12.6092,16.5164
4,5.93326,21.9732
4,8.65373,18.4672
4,16.094,17.3244
4,4.25935,26.8851
4,3.26944,31.7401
4,6.28134,34.7881
4,36.0161,29.7178
4,28.1973,25.1432
4,24.0874,22.2952
4,31.6647,27.3519
4,22.6593,42.226
4,14.2761,38.8948
4,9.55183,36.8687
4,18.9057,40.7292
4,25.9213,43.6331
4,22.1011,16.0886
4,2.26032,20.389
4,0.360499,25.7501
4,2.26032,20.389
4,-0.841861,31.1177
4,12.6446,12.5174
4,4.93557,16.3425
4,8.88128,13.4509
4,18.4369,13.994
4,30.2451,21.7003
4,26.578,19.157
4,34.8013,24.5556
4,13.8348,43.0317
4,4.04855,38.1315
4,8.84898,40.9443
4,0.948021,35.2607
4,21.4957,46.0737
4,17.9169,44.6374
4,39.1675,26.7556
4,40.1755,31.4477
4,43.8697,28.476
4,44.562,32.8775
4,30.83,46.0499
4,48.3507,29.8505
4,26.9063,48.5231
5,20.1845,17.2442
5,20.8908,20.0795
5,5.93326,21.9732
5,12.6092,16.5164
5,5.93326,21.9732
5,8.65373,18.4672
5,16.094,17.3244
5,4.25935,26.8851
5,3.26944,31.7401
5,6.28134,34.7881
5,36.0161,29.7178
5,28.1973,25.1432
5,24.0874,22.2952
5,31.6647,27.3519
5,22.6593,42.226
5,14.2761,38.8948
5,9.55183,36.8687
5,18.9057,40.7292
5,25.9213,43.6331
5,22.1011,16.0886
5,2.26032,20.389
5,0.360499,25.7501
5,2.26032,20.389
5,-0.841861,31.1177
5,12.6446,12.5174
5,4.93557,16.3425
5,8.88128,13.4509
5,18.4369,13.994
5,30.2451,21.7003
5,26.578,19.157
5,34.8013,24.5556
5,13.8348,43.0317
5,4.04855,38.1315
5,8.84898,40.9443
5,0.948021,35.2607
5,21.4957,46.0737
5,17.9169,44.6374
5,39.1675,26.7556
5,40.1755,31.4477
5,43.8697,28.476
5,44.562,32.8775
5,30.83,46.0499
5,48.3507,29.8505
5,26.9063,48.5231
5,48.6876,34.1512
5,34.7008,48.3569
6,23.9753,19.7717
6,20.8908,20.0795
6,5.93326,21.9732
